code,label
1-265.1,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Störungen der AV-Überleitung"
1-265.3,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei intraventrikulären Leitungsstörungen (faszikuläre Blockierungen)"
1-265.4,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Tachykardien mit schmalem QRS-Komplex oder atrialen Tachykardien"
1-265.5,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Wolff-Parkinson-White-Syndrom"
1-265.6,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Tachykardien mit breitem QRS-Komplex"
1-265.7,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei nicht anhaltenden Kammertachykardien und/oder ventrikulären Extrasystolen"
1-265.8,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Synkopen unklarer Genese"
1-265.9,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Zustand nach Herz-Kreislauf-Stillstand"
1-265.a,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Nach kurativer Therapie eines angeborenen Herzfehlers"
1-265.b,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Nach palliativer Therapie eines angeborenen Herzfehlers"
1-265.d,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Zustand nach Herztransplantation"
1-265.e,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Vorhofflimmern"
1-265.f,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Vorhofflattern"
1-265.x,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Sonstige"
1-265.y,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Nicht näher bezeichnet"
1-266,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt"
1-266.0,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Schrittmacher"
1-266.1,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Kardioverter/Defibrillator [Implantierbarer Kardioverter/Defibrillator]"
1-266.2,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Kipptisch-Untersuchung zur Abklärung von Synkopen"
1-266.3,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Medikamentöser Provokationstest (zur Erkennung von Arrhythmien)"
1-266.x,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Sonstige"
1-266.y,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Nicht näher bezeichnet"
1-268,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Kardiales Mapping
1-268.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Kardiales Mapping: Rechter Vorhof
1-268.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Kardiales Mapping: Linker Vorhof
1-268.2,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Kardiales Mapping: Gemeinsamer Vorhof
1-268.3,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Kardiales Mapping: Rechter Ventrikel
1-268.4,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Kardiales Mapping: Linker Ventrikel
1-268.5,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Kardiales Mapping: Funktionell/morphologisch univentrikuläres Herz
1-268.x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Kardiales Mapping: Sonstige
1-268.y,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Kardiales Mapping: Nicht näher bezeichnet
1-269,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Magnetokardiographie
1-27,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf
1-273,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Rechtsherz-Katheteruntersuchung
1-273.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Rechtsherz-Katheteruntersuchung: Oxymetrie
1-273.2,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Rechtsherz-Katheteruntersuchung: Druckmessung mit Messung des Shuntvolumens
1-273.5,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Rechtsherz-Katheteruntersuchung: Messung der pulmonalen Flussreserve
1-273.6,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Rechtsherz-Katheteruntersuchung: Messung des Lungenwassers
1-273.x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Rechtsherz-Katheteruntersuchung: Sonstige
1-273.y,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Rechtsherz-Katheteruntersuchung: Nicht näher bezeichnet
1-274,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transseptale Linksherz-Katheteruntersuchung
1-274.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transseptale Linksherz-Katheteruntersuchung: Druckmessung
1-274.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transseptale Linksherz-Katheteruntersuchung: Oxymetrie
1-274.2,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transseptale Linksherz-Katheteruntersuchung: Druckmessung mit Messung des Shuntvolumens
1-274.3,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transseptale Linksherz-Katheteruntersuchung: Sondierung des Vorhofseptums
1-274.30,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transseptale Linksherz-Katheteruntersuchung: Sondierung des Vorhofseptums: Mit Nadel
1-274.31,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transseptale Linksherz-Katheteruntersuchung: Sondierung des Vorhofseptums: Mit Radiofrequenz-Sondierungsdraht
1-274.3x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transseptale Linksherz-Katheteruntersuchung: Sondierung des Vorhofseptums: Sonstige
1-274.4,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transseptale Linksherz-Katheteruntersuchung: Sondierung des Ventrikelseptums
1-274.x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transseptale Linksherz-Katheteruntersuchung: Sonstige
1-274.y,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transseptale Linksherz-Katheteruntersuchung: Nicht näher bezeichnet
1-275,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transarterielle Linksherz-Katheteruntersuchung
1-275.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie ohne weitere Maßnahmen
1-275.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie und Druckmessung im linken Ventrikel
1-275.2,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie, Druckmessung und Ventrikulographie im linken Ventrikel"
1-275.3,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie, Druckmessung und Ventrikulographie im linken Ventrikel, Druckmessung in der Aorta und Aortenbogendarstellung"
1-275.4,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Diagnostische Katheteruntersuchung an Herz und Kreislauf: Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie, Druckmessung in der Aorta und Aortenbogendarstellung"
