nbchar,zcode,item type,text,codable,emitter,status,modification date,indent level,lateralite,clean_text,translation_raw
4,Z00.11,T,Infusion von Drotrecogin alfa (aktiviert),oui,,0,,4,,Infusion von Drotrecogin alfa ,"Administration of Drotrecogin Alfa|Drotrecogin alfa (activated) is a medication used to treat severe sepsis. It is a recombinant form of activated protein C, a naturally occurring anticoagulant that helps regulate the body's inflammatory response.  It is administered intravenously over a period of 96 hours. 


"
4,Z00.11,B,Infusion von rekombinantem Protein,non,,0,,4,,Infusion von rekombinantem Protein,"Administration of Recombinant Protein|The process of delivering a protein that has been produced through genetic engineering (recombinant DNA technology) into a patient's body.  Recombinant proteins are often used as therapeutic agents to treat various diseases, such as diabetes, hemophilia, and certain cancers. 


"
4,Z00.12,T,"Inhalation von Stickstoffmonoxid, nach Dauer der Behandlung",non,,0,,4,,"Inhalation von Stickstoffmonoxid, nach Dauer der Behandlung","Inhalation of Nitric Oxide, after Duration of Treatment |Nitric oxide (NO) is a gaseous molecule with potent vasodilatory properties. It is administered via inhalation to improve blood flow in the lungs and reduce pulmonary vascular resistance. The duration of treatment with inhaled nitric oxide varies depending on the patient's condition and response to therapy. 


"
4,Z00.12,B,NO-Therapie,non,,0,,4,,NO-Therapie,"NO Therapy|Therapy involving Nitric Oxide (NO), a gaseous molecule with various physiological effects, including vasodilation (widening of blood vessels) and neurotransmission. NO therapy is used in clinical settings for conditions such as pulmonary hypertension and critical care medicine. 


"
4,Z00.12,B,Stickstoffmonoxid-Therapie,non,,0,,4,,Stickstoffmonoxid-Therapie,"Nitric Oxide Therapy|A medical treatment that involves administering nitric oxide (NO) to a patient. Nitric oxide is a gaseous molecule with potent vasodilatory effects, meaning it relaxes and widens blood vessels. It's used in various clinical settings, including: 

* **Neonatal respiratory distress syndrome:** To improve oxygenation in premature infants with breathing difficulties.
* **Severe pulmonary hypertension:** To reduce pressure in the arteries of the lungs.
* **Septic shock:** To support blood flow and organ perfusion in critically ill patients.



"
5,Z00.12.0,T,Detail der Subkategorie 00.12,non,,0,,5,,Detail der Subkategorie 00.12,"Subcategory 00.12 details  **""Diagnostic Ultrasound of the Eye - Anterior Segment""**.

This subcategory focuses specifically on using ultrasound to examine the front part of the eye (anterior segment), which includes structures like:

* **Cornea:** The transparent outer layer covering the front of the eye.
* **Iris:** The colored part of the eye that controls the size of the pupil.
* **Pupil:** The opening in the center of the iris that allows light to enter the eye.
* **Lens:** A transparent structure behind the iris that focuses light onto the retina.
* **Anterior Chamber:** The space between the cornea and the iris, filled with aqueous humor.


"
6,Z00.12.00,T,"Inhalation von Stickstoffmonoxid, Dauer der Behandlung bis 48 Stunden",oui,,0,,6,,"Inhalation von Stickstoffmonoxid, Dauer der Behandlung bis 48 Stunden","Inhalational Nitric Oxide, Treatment Duration Up to 48 Hours |Nitric oxide (NO) is a gaseous molecule with potent vasodilatory properties. Inhaled nitric oxide is used in the treatment of pulmonary hypertension and respiratory distress syndrome in neonates. It works by relaxing blood vessels in the lungs, improving blood flow and reducing pressure within the pulmonary arteries. The duration of treatment can vary depending on the patient's condition but typically lasts up to 48 hours.  


"
6,Z00.12.01,T,"Inhalation von Stickstoffmonoxid, Dauer der Behandlung von mehr als 48 Stunden bis 96 Stunden",oui,,0,,6,,"Inhalation von Stickstoffmonoxid, Dauer der Behandlung von mehr als 48 Stunden bis 96 Stunden","Inhalation of Nitric Oxide, Treatment Duration of More Than 48 Hours to 96 Hours |  Nitric oxide (NO) is a gaseous molecule with potent vasodilatory properties. Inhaled nitric oxide is used clinically as a pulmonary vasodilator in neonates and children with respiratory distress syndrome (RDS), persistent pulmonary hypertension of the newborn (PPHN), or other conditions characterized by pulmonary vasoconstriction. The duration of treatment typically ranges from 48 to 96 hours, depending on the severity of the condition and the patient's response to therapy.  


"
6,Z00.12.02,T,"Inhalation von Stickstoffmonoxid, Dauer der Behandlung von mehr als 96 Stunden",oui,,0,,6,,"Inhalation von Stickstoffmonoxid, Dauer der Behandlung von mehr als 96 Stunden","Inhalation of Nitric Oxide, Treatment Duration Exceeding 96 Hours |  The administration of nitric oxide (NO) gas through inhalation for a period longer than 96 hours. Nitric oxide is a potent vasodilator, meaning it widens blood vessels. It's used in clinical settings to improve oxygenation in patients with respiratory distress, particularly those with pulmonary hypertension or acute respiratory distress syndrome (ARDS).  
"
4,Z00.16,T,Unter Druck Behandlung von venösem Bypass-Graft [Conduit] mit Pharmazeutikum,oui,,0,,4,,Unter Druck Behandlung von venösem Bypass-Graft [Conduit] mit Pharmazeutikum,"Treatment under pressure of a venous bypass graft [conduit] with pharmaceutical |  A procedure where medication is delivered directly into a vein bypass graft (a conduit) while it's under pressure. This helps ensure the medication reaches the target area effectively and can be used to treat conditions like thrombosis or inflammation within the graft. 


"
4,Z00.16,B,Ex vivo Gefässbehandlung,non,,0,,4,,Ex vivo Gefässbehandlung,"Ex Vivo Vascular Treatment|A medical procedure where blood vessels are treated outside the body (ex vivo) before being reimplanted. This technique is often used in situations where direct treatment of blood vessels within the body is difficult or risky. 


"
4,Z00.16,B,Hyperbar behandelter Graft [Conduit],non,,0,,4,,Hyperbar behandelter Graft [Conduit],"Hyperbaric Treated Graft (Conduit)|A graft (tissue transplant) that has been treated in a hyperbaric chamber. Hyperbaric oxygen therapy involves breathing pure oxygen at increased atmospheric pressure. This treatment can promote tissue healing and reduce inflammation, making it potentially beneficial for grafts used in surgical procedures. 


"
4,Z00.17,T,Infusion einer vasopressorischen Substanz,oui,,0,,4,,Infusion einer vasopressorischen Substanz,"Infusion of a Vasopressor Substance|The administration of a medication that constricts blood vessels (vasoconstriction) through an intravenous infusion. Vasopressors are used to increase blood pressure in cases of hypotension (low blood pressure). 


"
4,Z00.19,T,Unterbrechung der Blut-Hirn-Schranke [BHS] mittels Infusion,oui,,0,,4,,Unterbrechung der Blut-Hirn-Schranke [BHS] mittels Infusion,"Disruption of the Blood-Brain Barrier (BBB) by Infusion | The blood-brain barrier (BBB) is a highly selective semipermeable border of endothelial cells that separates circulating blood from the brain and extracellular fluid in the central nervous system (CNS). Disrupting this barrier allows substances to pass through that would normally be blocked, potentially for therapeutic purposes or as a result of disease. Infusion refers to the administration of a substance into the bloodstream via a vein. 


"
4,Z00.19,B,Infusion einer Lösung zur Unterbrechung der Blut-Hirn-Schranke,non,,0,,4,,Infusion einer Lösung zur Unterbrechung der Blut-Hirn-Schranke,"Infusion of a solution to disrupt the blood-brain barrier|The administration of a fluid containing substances designed to temporarily weaken the blood-brain barrier (BBB). The BBB is a protective layer of cells that regulates the passage of molecules between the bloodstream and the brain. Disrupting it allows for the delivery of therapeutic agents or diagnostic tools that would otherwise be unable to cross this barrier. 


"
4,Z00.19,S,Chemotherapie (99.25.5-),non,,0,,4,,Chemotherapie ,"Chemotherapy|A type of cancer treatment that uses drugs to destroy cancer cells.  It can be administered intravenously, orally, or topically. Chemotherapy is often used in combination with other treatments, such as surgery or radiation therapy.


"
4,Z00.19,X,Sonstige Perfusion (39.97.-),non,,0,,4,,Sonstige Perfusion ,"Other Perfusion |  Refers to blood flow or circulation to tissues or organs other than those typically assessed in routine clinical examinations. This term is often used in surgical contexts to describe the adequacy of blood supply to areas beyond the primary surgical site.


"
3,Z00.2,T,Intravaskuläre Bildgebung von Blutgefässen,non,,0,,3,,Intravaskuläre Bildgebung von Blutgefässen,"Intravascular Imaging of Blood Vessels|A medical imaging technique that involves visualizing blood vessels from within. This is typically achieved by inserting a catheter with a miniature camera or sensor into the bloodstream, allowing for direct visualization of the vessel walls and lumen (the space inside the vessel).  It's used to diagnose and assess various vascular conditions, such as atherosclerosis, aneurysms, and stenosis. 


"
3,Z00.2,B,Endovaskulärer Ultraschall,non,,0,,3,,Endovaskulärer Ultraschall,"Endovascular Ultrasound|A type of ultrasound imaging that is performed inside blood vessels. A small ultrasound probe is inserted into a blood vessel, typically through a catheter, to visualize the vessel walls and any abnormalities within the vessel lumen (the space inside the blood vessel). This technique is used to diagnose and monitor various vascular conditions, such as atherosclerosis, aneurysms, and peripheral artery disease. 


"
3,Z00.2,B,Intravaskuläre Bildgebung (Ultraschall) von Blutgefässen,non,,0,,3,,Intravaskuläre Bildgebung  von Blutgefässen,"Intravascular Imaging of Blood Vessels|A medical imaging technique that involves visualizing blood vessels from within. This is typically achieved by inserting a catheter with a miniature camera or sensor into the bloodstream, allowing for direct visualization of the vessel walls and lumen (the space inside the vessel).  It's used to diagnose and assess various vascular conditions, such as atherosclerosis, aneurysms, and stenosis. 


"
3,Z00.2,B,Intravaskulärer Ultraschall [IVUS],non,,0,,3,,Intravaskulärer Ultraschall [IVUS],"Intravascular Ultrasound [IVUS]|A type of ultrasound imaging that uses a miniature transducer mounted on a catheter to visualize the inside of blood vessels. It provides real-time cross-sectional images of the vessel wall, plaque buildup (atherosclerosis), and other vascular structures. IVUS is often used during angioplasty procedures to guide stent placement and assess the effectiveness of treatment. 


"
3,Z00.2,N,Echtzeitige Bildgebung von Blutgefässlumen mittels Schallwellen,non,,0,,3,,Echtzeitige Bildgebung von Blutgefässlumen mittels Schallwellen,"Real-Time Imaging of Blood Vessels Using Ultrasound|  A medical imaging technique that uses high-frequency sound waves (ultrasound) to create real-time images of blood vessels. This allows doctors to visualize blood flow and identify any abnormalities, such as blockages or aneurysms. 


"
3,Z00.2,S,Jede gleichzeitige diagnostische oder therapeutische Massnahme,non,,0,,3,,Jede gleichzeitige diagnostische oder therapeutische Massnahme,"Every simultaneous diagnostic or therapeutic measure| Any medical procedure performed at the same time as another, whether it is for diagnosis or treatment. 


"
3,Z00.2,X,"Adjunktiv vaskuläre Massnahme, Anzahl von behandelten Gefässen (00.40-00.43)",non,,0,,3,,"Adjunktiv vaskuläre Massnahme, Anzahl von behandelten Gefässen ","Adjunctive Vascular Procedure, Number of Treated Vessels | An additional procedure performed to improve blood flow in a specific area, often in conjunction with another surgical or medical treatment. The number of vessels treated refers to the quantity of blood vessels that were addressed during this adjunctive procedure.  


"
3,Z00.2,X,Diagnostische Massnahmen an Blutgefässen (38.21-38.29),non,,0,,3,,Diagnostische Massnahmen an Blutgefässen ,"Diagnostic Measures on Blood Vessels| Procedures performed to evaluate the structure and function of blood vessels. This can include a variety of techniques such as angiography (imaging of blood vessels using contrast dye), duplex ultrasound (combining sound waves and imaging to assess blood flow), and other non-invasive or minimally invasive procedures. 


"
3,Z00.2,X,Diagnostischer Ultraschall des peripheren vaskulären Systems (88.77),non,,0,,3,,Diagnostischer Ultraschall des peripheren vaskulären Systems ,"Diagnostic Ultrasound of the Peripheral Vascular System |  Ultrasound imaging used to examine blood vessels outside of the heart and brain. This can include arteries and veins in the arms, legs, neck, and abdomen. It helps visualize blood flow, identify blockages or narrowing (stenosis), and assess the health of these vessels. 


"
3,Z00.2,X,Intravaskuläre Bildgebung der Koronargefässe (37.2A.1),non,,0,,3,,Intravaskuläre Bildgebung der Koronargefässe ,"Intravascular Imaging of Coronary Arteries | A minimally invasive imaging technique used to visualize the inside of coronary arteries. It involves threading a catheter with a tiny camera or sensor through an artery in the groin or arm, guiding it to the heart, and capturing real-time images of the coronary vessels. This allows for detailed visualization of plaque buildup, narrowing, and other abnormalities within the arteries, aiding in diagnosis and treatment planning for coronary artery disease. 


"
3,Z00.2,X,Magnetic Resonance Imaging [MRI] (88.91.- - 88.97.-),non,,0,,3,,Magnetic Resonance Imaging [MRI] ,"Magnetic Resonance Imaging (MRI)|A medical imaging technique that uses a strong magnetic field and radio waves to create detailed images of the organs and tissues in your body. MRI doesn't use ionizing radiation like X-rays or CT scans, making it a safer option for repeated imaging.  It is particularly useful for visualizing soft tissues such as the brain, spinal cord, muscles, ligaments, and cartilage. 


"
3,Z00.2,X,Therapeutischer Ultraschall (00.01-00.09),non,,0,,3,,Therapeutischer Ultraschall ,"Therapeutic Ultrasound|The application of ultrasound waves to treat medical conditions.  This involves using high-frequency sound waves to generate heat within tissues, promoting healing or reducing inflammation. Therapeutic ultrasound is often used in physical therapy to manage pain, reduce swelling, and improve tissue mobility.


"
4,Z00.21,T,Intravaskuläre Bildgebung von extrakraniellen Hirngefässen,oui,,0,,4,Lateral,Intravaskuläre Bildgebung von extrakraniellen Hirngefässen,"Intravascular Imaging of Extracranial Cerebral Vessels|A medical imaging technique that visualizes blood vessels outside the skull (extracranial) using a contrast agent injected into the bloodstream. This allows for detailed visualization of arteries and veins supplying blood to the brain, helping to diagnose conditions like aneurysms, stenosis, or vascular malformations. 


"
4,Z00.21,B,A. carotis communis und ihre Äste,non,,0,,4,,A. carotis communis und ihre Äste,"Common Carotid Artery and its Branches|The common carotid artery is a major blood vessel that supplies oxygenated blood to the head and neck. It branches into two internal carotid arteries (ICA) which supply the brain, and two external carotid arteries (ECA) which supply the face, scalp, and neck. 


"
4,Z00.21,B,"Intravaskulärer Ultraschall [IVUS], extrakranielle Hirngefässe",non,,0,,4,,"Intravaskulärer Ultraschall [IVUS], extrakranielle Hirngefässe","Intravascular Ultrasound (IVUS), Extracranial Cerebral Vessels| Intravascular ultrasound (IVUS) is a minimally invasive imaging technique that uses high-frequency sound waves to visualize the inside of blood vessels. It involves inserting a tiny ultrasound transducer on a catheter into the vessel, allowing for real-time imaging of the vessel walls and lumen.  Extracranial cerebral vessels refer to the blood vessels in the brain that lie outside the skull. 


"
4,Z00.21,X,Diagnostischer (nicht-invasiver) Ultraschall von Kopf und Hals (88.71.-),non,,0,,4,,Diagnostischer  Ultraschall von Kopf und Hals ,"Diagnostic Ultrasound of Head and Neck| Ultrasonography used to examine the structures in the head and neck region. This non-invasive imaging technique uses high-frequency sound waves to create images of tissues, organs, and blood vessels in this area. It can be used to diagnose a variety of conditions, such as thyroid nodules, salivary gland disorders, lymph node abnormalities, and vascular issues. 


"
4,Z00.22,T,Intravaskuläre Bildgebung von intrathorakalen Gefässen,oui,,0,,4,,Intravaskuläre Bildgebung von intrathorakalen Gefässen,"Intravascular Imaging of Intrathoracic Vessels|A medical imaging technique that uses a catheter with a small camera or sensor to visualize blood vessels within the chest cavity (intrathoracic). This allows for detailed visualization and assessment of the structure and function of these vessels, which can be helpful in diagnosing and managing various conditions such as aneurysms, blockages, or tumors. 


"
4,Z00.22,B,Aorta und Aortenbogen,non,,0,,4,,Aorta und Aortenbogen,"Aorta and Aortic Arch|The aorta is the main artery in the body that carries oxygenated blood from the heart to the rest of the body. The aortic arch is the curved portion of the aorta that begins at the left ventricle of the heart and extends upward, then curves backward before descending into the chest cavity. 


"
4,Z00.22,B,"Intravaskulärer Ultraschall [IVUS], intrathorakale Gefässe",non,,0,,4,,"Intravaskulärer Ultraschall [IVUS], intrathorakale Gefässe","Intravascular Ultrasound (IVUS) | A type of ultrasound imaging that uses a catheter with a miniature transducer to visualize blood vessels from within.  | Intrathoracic Vessels | Blood vessels located within the chest cavity. 


"
4,Z00.22,B,Vena cava (superior) (inferior),non,,0,,4,,Vena cava  ,"Superior Vena Cava|The superior vena cava (SVC) is a large vein that carries deoxygenated blood from the upper body back to the heart. It receives blood from veins in the head, neck, arms, and chest. 


"
