#3D	Dreidimensional
#4D	Vierdimensional
A.	Arteria
TFG	Transfusionsgesetz
TGA	Transposition der großen Arterien
TIA	Transitorische ischämische Attacke
TIPP	Transinguinal präperitoneal
TIPS	Transjugular intrahepatic portosystemic shunt
TISS	Therapeutic Intervention Scoring System
TMLR	Transmyokardiale Laserrevaskularisation
TMMR	Totale mesometriale Resektion des Uterus
TOT	Trans obturator tape (Transobturatorisches Band)
TRAM	Transversaler Rectus-abdominis-Muskellappen
TRUS	Transrektale Ultraschallbildgebung
TUNA	Transurethrale Nadelablation
TVT	Tension free vaginal tape
TVT-O	Tension free vaginal tape obturator (TVT-Obturator)
UBE2E	Ubiquitin conjugating enzyme E2 E2
V.	Vena
Vv.	Venae
VAS	Visual Analogue Scale
VCV	Varicella-Zoster-Virus
Vv.	Venae
VEMP	Vestibulär evozierte myogene Potenziale
VEP	Visuell evozierte Potenziale
VEPTR	Vertikale expandierbare prothetische Titanrippe
VHI	Voice Handicap Index
VLAP	Visuell kontrollierte laserunterstützte Resektion
VNTR	Variable number of tandem repeats
WIT	Wasserinduzierte Thermotherapie
WPW	Wolff-Parkinson-White
YAG-Laser	Yttrium-Aluminium-Granat-Laser
ZIFT	Intratubärer Zygotentransfer
ZNS	Zentrales Nervensystem
